상품명,주종,절대 도수,상대 도수,용량,가격,가성비,맥주 가성비,검색용 상품명,판매처,단맛,바디감,신맛,청량감,향의 강도,향의 종류,사진
33JU 200ml,증류주,18,1,200,23000,0.16,0,,,2,1,,,4,"흙, 꿀",https://dbscthumb-phinf.pstatic.net/4776_000_3/20220323113401498_3Z1DSI3QR.jpg/fe87_529_i1.jpg?type=m251&wm=Y
33JU 500ml,증류주,18,1,500,49000,0.18,0,,,2,1,,,4,"흙, 꿀",https://dbscthumb-phinf.pstatic.net/4776_000_3/20220323113401498_3Z1DSI3QR.jpg/fe87_529_i1.jpg?type=m251&wm=Y
52C,증류주,17.5,1,500,10000,0.88,1,52C 전통주,,2,2,,,4,흙,https://dbscthumb-phinf.pstatic.net/4776_000_3/20220323113401542_N0CT2O5I7.png/fe87_530_i1.png?type=m251&wm=Y
가덕 순쌀 막걸리,탁주,6,1,750,1500,3,1,,https://mssool.co.kr/,3,3,3,3,,무향,https://dbscthumb-phinf.pstatic.net/4776_000_2/20190726180526179_0TTMYF538.jpg/fe87_420_i1.jpg?type=m251&wm=Y
가을빛 레드와인,과실주,14,4,750,35000,0.3,0,,https://yeinwinerywine.modoo.at/?link=19t0juux,2,2,3,3,,포도,https://dbscthumb-phinf.pstatic.net/4776_000_2/20190726160734633_X5FD1AN3U.jpg/fe87_379_i1.jpg?type=m251&wm=Y
감 보드카,증류주,32,3,375,14000,0.86,1,,,3,3,,,2,사과,https://dbscthumb-phinf.pstatic.net/4776_000_2/20190726174041133_1Q26K5J0V.jpg/fe87_410_i1.jpg?type=m251&wm=Y
감그린 레귤러,과실주,12,3,750,18000,0.5,0,,,3,2,3,3,,사과,https://dbscthumb-phinf.pstatic.net/4776_000_1/20181013020715463_KGFK8VS9E.jpg/fe87_281_i1.jpg?type=m251&wm=Y
감그린 스페셜,과실주,12,3,750,25000,0.36,0,,,3,3,3,3,,사과,https://dbscthumb-phinf.pstatic.net/4776_000_2/20181017120058261_9LP7HYZZH.jpg/fe87_282_i1.jpg?type=m251&wm=Y
감그린 아이스와인,과실주,10,2,375,89000,0.04,0,,,4,4,2,2,,사과,https://dbscthumb-phinf.pstatic.net/4776_000_1/20181013022632085_JS0FG3HC4.jpg/fe87_283_i1.jpg?type=m251&wm=Y
감사,약주,14,4,375,15000,0.35,0,,,2,2,2,1,,무향,https://dbscthumb-phinf.pstatic.net/4776_000_1/20170224110222108_1TLD4VYWD.jpg/fe87_080_i1.jpg?type=m251&wm=Y
감악산 머루주,과실주,12,3,360,7000,0.62,0,,https://smartstore.naver.com/wooridoga/products/5020022202?n_media=27758&n_query=%EA%B0%90%EC%95%85%EC%82%B0%EB%A8%B8%EB%A3%A8%EC%A3%BC&n_rank=2&n_ad_group=grp-a001-02-000000019470478&n_ad=nad-a001-02-000000120686310&n_campaign_type=2&n_mall_id=ncp_1nkeip_01&n_mall_pid=5020022202&n_ad_group_type=2&n_match=3&NaPm=ct%3Dlpgimjhc%7Cci%3D0ye0000ib6fzeLfSBuZn%7Ctr%3Dpla%7Chk%3D44b4a1e07df14f5280d1eda923f97fb5da3c9749,2,2,2,1,,포도,https://dbscthumb-phinf.pstatic.net/4776_000_2/20200824185213299_9BJJMDYTE.jpg/fe87_475_i1.jpg?type=m251&wm=Y
감자술,약주,13,4,700,14000,0.65,0,,https://www.pcwine.co.kr/main/index,3,2,2,3,,무향,https://dbscthumb-phinf.pstatic.net/4776_000_2/20190726173312428_9KUFPAV7J.jpg/fe87_407_i1.jpg?type=m251&wm=Y
감홍로 백자,증류주,40,4,700,75000,0.37,0,,,3,4,,,3,"흙, 스파이시",https://dbscthumb-phinf.pstatic.net/4776_000_1/20170524102414291_6V5A8YD3M.jpg/fe87_114_i1.jpg?type=m251&wm=Y
강쇠,약주,13,4,370,2500,1.92,1,,https://smartstore.naver.com/wooridoga/products/4495415932?NaPm=ct%3Dlpgivl3k%7Cci%3D4c974bd5283d68d34e7377cd0ad1e13f4dd5e78c%7Ctr%3Dslct%7Csn%3D576325%7Chk%3D11e874a9026e45fb73f828556e8125efd7448be6,2,2,2,1,,흙,https://dbscthumb-phinf.pstatic.net/4776_000_1/20170522191719813_L3VMMVLR6.JPG/fe87_188_i1.JPG?type=m251&wm=Y
겨울소주 25,증류주,25,2,360,10000,0.9,1,,https://smartstore.naver.com/arirangjujo/products/4985769134,2,4,,,4,무향,https://dbscthumb-phinf.pstatic.net/4776_000_2/20200824191033138_I0O31P43W.jpg/fe87_482_i1.jpg?type=m251&wm=Y
계룡백일주 16도,약주,16,5,700,18500,0.61,0,,,1,5,1,1,,"꽃, 허브,아로마, 베리",https://dbscthumb-phinf.pstatic.net/4776_000_1/20170522121231543_Y7KE995X3.jpg/fe87_116_i1.jpg?type=m251&wm=Y
계룡백일주 30도,증류주,30,3,400,20000,0.6,0,,,2,3,,,2,"꽃, 허브,아로마, 베리",https://dbscthumb-phinf.pstatic.net/4776_000_1/20170522121608958_G8056J9O0.jpg/fe87_117_i1.jpg?type=m251&wm=Y
계룡백일주 40도,증류주,40,4,600,40000,0.6,0,,,3,3,,,3,"꽃, 허브,아로마, 베리",https://dbscthumb-phinf.pstatic.net/4776_000_1/20170522122010713_JJMI5M26Y.jpg/fe87_118_i1.jpg?type=m251&wm=Y
계룡산 산삼주 금수강산 21도,증류주,21,2,740,110000,0.14,0,,,3,2,,,2,흙,https://dbscthumb-phinf.pstatic.net/4776_000_1/20181013012751849_ERJWLTDF0.jpg/fe87_276_i1.jpg?type=m251&wm=Y
계룡산 산삼주 금수강산 40도,증류주,40,4,740,150000,0.2,0,,,3,3,,,3,흙,https://dbscthumb-phinf.pstatic.net/4776_000_1/20181013011842282_94AB1QQSO.jpg/fe87_275_i1.jpg?type=m251&wm=Y
고도리 레드와인 스위트,과실주,12,3,750,22000,0.41,0,,https://smartstore.naver.com/wooridoga/products/5687762727?NaPm=ct%3Dlpgj5rm0%7Cci%3D846264e60146df2324c63d308dacfd1a2988c3e9%7Ctr%3Dslsl%7Csn%3D576325%7Chk%3D7969eb1e7b24b1a2f9d353c88c618666fdf98409,3,3,3,2,,포도,https://dbscthumb-phinf.pstatic.net/4776_000_1/20181012232607390_PR1T3J94Y.jpg/fe87_257_i1.jpg?type=m251&wm=Y
고도리 복숭아와인,과실주,6.5,1,750,38000,0.13,0,,,3,3,4,3,,피치,https://dbscthumb-phinf.pstatic.net/4776_000_3/20230323160321312_PT2ZLF9OY.jpg/fe87_258_i1.jpg?type=m251&wm=Y
고도리 샤인머스캣,과실주,10.5,2,750,38000,0.21,0,,,4,3,3,2,,포도,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/W5dy-1631773756416-%EA%B3%A0%EB%8F%84%EB%A6%AC+%EB%A7%9D%EA%B3%A0%ED%8F%AC%EB%8F%84+%EC%99%80%EC%9D%B8-1.jpg
고도리 화이트와인 드라이,과실주,10.5,2,750,22000,0.36,0,,,2,2,3,3,,포도,https://dbscthumb-phinf.pstatic.net/4776_000_1/20181012231753430_BXL6O7JRO.jpg/fe87_256_i1.jpg?type=m251&wm=Y
고도리 화이트와인 스위트,과실주,10.5,2,750,22000,0.36,0,,,4,2,3,3,,포도,https://dbscthumb-phinf.pstatic.net/4776_000_1/20181012230912307_6HTQENADJ.jpg/fe87_255_i1.jpg?type=m251&wm=Y
고운달 백자 200ml,증류주,52,5,200,180000,0.06,0,,,3,5,,,3,베리,https://dbscthumb-phinf.pstatic.net/4776_000_1/20181012234452688_TCQKAUHRR.jpg/fe87_260_i1.jpg?type=m251&wm=Y
고운달 백자 500ml,증류주,52,5,500,360000,0.07,0,,,3,5,,,3,베리,https://dbscthumb-phinf.pstatic.net/4776_000_1/20181012234452688_TCQKAUHRR.jpg/fe87_260_i1.jpg?type=m251&wm=Y
고운달 오크 200ml,증류주,52,5,200,180000,0.06,0,,,2,5,,,4,베리,https://dbscthumb-phinf.pstatic.net/4776_000_1/20181012233858393_OS3EASQ8L.jpg/fe87_259_i1.jpg?type=m251&wm=Y
고운달 오크 500ml,증류주,52,5,500,360000,0.07,0,,,2,5,,,4,베리,https://dbscthumb-phinf.pstatic.net/4776_000_1/20181012233858393_OS3EASQ8L.jpg/fe87_259_i1.jpg?type=m251&wm=Y
고창선운산 블루베리주,과실주,15,4,1800,25000,1.08,1,,,2,2,2,2,,베리,https://dbscthumb-phinf.pstatic.net/4776_000_1/20181013004450642_1QTC63ZH8.jpg/fe87_270_i1.jpg?type=m251&wm=Y
고흥유자주,약주,8,2,500,13000,0.31,0,,,4,2,3,3,,시트러스,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/rC0W-1659321041025-0.jpg
곰이 사랑한 꿀술,증류주,16,1,375,15500,0.39,0,,,4,3,,,3,"꿀, 스파이시",https://assets.business.veluga.kr/media/public/곰이사랑한꿀술대표_1.png
공주애 오디와인,과실주,15,4,375,6000,0.94,1,,,3,1,2,3,,베리,https://dbscthumb-phinf.pstatic.net/4776_000_1/20181013030946221_6W66ZE0JB.jpg/fe87_288_i1.jpg?type=m251&wm=Y
